,YEAR-MONTH,RAINFALL
347,1931-08-01,222.1
348,1931-09-01,68.8
349,1931-10-01,21.8
350,1931-12-01,0.5
351,1932-01-01,19.0
352,1932-02-01,13.2
353,1932-03-01,28.8
354,1932-04-01,7.3
355,1932-05-01,11.6
356,1932-06-01,19.9
357,1932-07-01,190.7
358,1932-08-01,136.1
359,1932-09-01,32.0
360,1932-10-01,1.5
361,1932-11-01,0.3
362,1932-12-01,29.9
363,1933-01-01,6.2
364,1933-02-01,26.4
365,1933-03-01,35.7
366,1933-04-01,7.2
367,1933-05-01,25.7
368,1933-06-01,37.1
369,1933-07-01,180.0
370,1933-08-01,327.3
371,1933-09-01,202.7
372,1933-10-01,8.4
373,1933-11-01,2.9
374,1933-12-01,0.9
375,1934-01-01,18.3
376,1934-02-01,1.7
377,1934-03-01,37.5
378,1934-04-01,2.4
379,1934-05-01,6.0
380,1934-06-01,51.0
381,1934-07-01,150.9
382,1934-08-01,136.6
383,1934-09-01,14.9
384,1934-12-01,9.9
385,1935-01-01,73.7
386,1935-02-01,40.9
387,1935-03-01,12.8
388,1935-04-01,44.2
389,1935-05-01,2.1
390,1935-06-01,8.2
391,1935-07-01,203.9
392,1935-08-01,144.6
393,1935-09-01,45.1
394,1935-10-01,2.7
395,1935-11-01,11.6
396,1935-12-01,8.2
397,1936-01-01,1.3
398,1936-02-01,58.8
399,1936-03-01,17.3
400,1936-04-01,10.9
401,1936-05-01,5.4
402,1936-06-01,105.0
403,1936-07-01,170.2
404,1936-08-01,165.5
405,1936-09-01,57.7
406,1936-10-01,6.2
407,1936-11-01,0.2
408,1936-12-01,27.9
409,1937-01-01,5.8
410,1937-02-01,96.0
411,1937-03-01,10.2
412,1937-04-01,41.8
413,1937-05-01,8.8
414,1937-06-01,55.4
415,1937-07-01,218.6
416,1937-08-01,30.5
417,1937-09-01,70.2
418,1937-10-01,7.3
419,1937-11-01,0.3
420,1937-12-01,26.2
421,1938-01-01,77.5
422,1938-02-01,22.2
423,1938-03-01,1.8
424,1938-04-01,9.1
425,1938-05-01,3.4
426,1938-06-01,112.8
427,1938-07-01,102.3
428,1938-08-01,85.4
429,1938-09-01,5.8
430,1938-10-01,9.9
431,1938-12-01,0.6
432,1939-01-01,6.2
433,1939-02-01,61.0
434,1939-03-01,58.1
435,1939-04-01,8.3
436,1939-05-01,0.8
437,1939-06-01,49.8
438,1939-07-01,100.5
439,1939-08-01,78.6
440,1939-09-01,37.9
441,1939-10-01,2.6
442,1940-01-01,36.8
443,1940-02-01,45.1
444,1940-03-01,13.7
445,1940-04-01,2.9
446,1940-05-01,6.5
447,1940-06-01,60.3
448,1940-07-01,159.3
449,1940-08-01,179.6
450,1940-09-01,27.4
451,1940-10-01,0.1
452,1940-11-01,0.1
453,1940-12-01,0.5
454,1941-01-01,55.3
455,1941-02-01,8.5
456,1941-03-01,12.4
457,1941-04-01,1.0
458,1941-05-01,15.2
459,1941-06-01,89.5
460,1941-07-01,111.4
461,1941-08-01,152.1
462,1941-09-01,41.0
463,1941-10-01,9.8
464,1941-12-01,10.2
465,1942-01-01,27.2
466,1942-02-01,57.2
467,1942-03-01,15.4
468,1942-04-01,19.6
469,1942-05-01,13.4
470,1942-06-01,52.4
471,1942-07-01,253.3
472,1942-08-01,256.4
473,1942-09-01,131.7
474,1942-10-01,5.1
475,1942-12-01,39.8
476,1943-01-01,55.6
477,1943-02-01,1.9
478,1943-03-01,7.9
479,1943-04-01,7.8
480,1943-05-01,9.8
481,1943-06-01,29.2
482,1943-07-01,130.4
483,1943-08-01,132.6
484,1943-09-01,46.6
485,1943-10-01,0.4
