,Handle,Title,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,SKU,HS Code,COO,Location,Incoming,Unavailable,Committed,Available,On hand
46,think-happy-thoughts-oversize-white-tshirt,Think Happy Thoughts Oversize White Tshirt,Style Size,S,,,,,ZZ09785-S,,,Shop location,0,0,0,0,0
47,think-happy-thoughts-oversize-white-tshirt,Think Happy Thoughts Oversize White Tshirt,Style Size,M,,,,,ZZ09785-M,,,Shop location,0,0,0,4,4
48,think-happy-thoughts-oversize-white-tshirt,Think Happy Thoughts Oversize White Tshirt,Style Size,L,,,,,ZZ09785-L,,,Shop location,0,0,0,0,0
49,think-happy-thoughts-oversize-white-tshirt,Think Happy Thoughts Oversize White Tshirt,Style Size,XL,,,,,ZZ09785-XL,,,Shop location,0,0,0,0,0
50,vneck-sleeve-flared-dress,Vneck Sleeve Flared Dress,Style Size,S,,,,,ZZ09691-S,,,Shop location,0,0,1,3,4
51,vneck-sleeve-flared-dress,Vneck Sleeve Flared Dress,Style Size,M,,,,,ZZ09691-M,,,Shop location,0,0,0,5,5
52,vneck-sleeve-flared-dress,Vneck Sleeve Flared Dress,Style Size,L,,,,,ZZ09691-L,,,Shop location,0,0,0,7,7
53,vneck-sleeve-flared-dress,Vneck Sleeve Flared Dress,Style Size,XL,,,,,ZZ09691-XL,,,Shop location,0,0,0,5,5
54,vneck-sleeve-flared-dress,Vneck Sleeve Flared Dress,Style Size,XXL,,,,,ZZ09691-XXL,,,Shop location,0,0,0,1,1
55,bloom-oversize-white-tshirt,Bloom Oversize White Tshirt,Style Size,XS,,,,,ZZ09772-XS,,,Shop location,0,0,0,0,0
56,bloom-oversize-white-tshirt,Bloom Oversize White Tshirt,Style Size,S,,,,,ZZ09772-S,,,Shop location,0,0,0,0,0
57,bloom-oversize-white-tshirt,Bloom Oversize White Tshirt,Style Size,M,,,,,ZZ09772-M,,,Shop location,0,0,2,0,2
58,bloom-oversize-white-tshirt,Bloom Oversize White Tshirt,Style Size,L,,,,,ZZ09772-L,,,Shop location,0,0,0,0,0
59,bloom-oversize-white-tshirt,Bloom Oversize White Tshirt,Style Size,XL,,,,,ZZ09772-XL,,,Shop location,0,0,0,0,0
60,enjoy-the-little-things-oversize-tshirt,Enjoy The Little Things Oversize Tshirt,Style Size,XS,,,,,ZZ09808-XS,,,Shop location,0,0,1,1,2
61,enjoy-the-little-things-oversize-tshirt,Enjoy The Little Things Oversize Tshirt,Style Size,S,,,,,ZZ09808-S,,,Shop location,0,0,0,4,4
62,enjoy-the-little-things-oversize-tshirt,Enjoy The Little Things Oversize Tshirt,Style Size,M,,,,,ZZ09808-M,,,Shop location,0,0,0,6,6
63,enjoy-the-little-things-oversize-tshirt,Enjoy The Little Things Oversize Tshirt,Style Size,L,,,,,ZZ09808-L,,,Shop location,0,0,0,4,4
64,enjoy-the-little-things-oversize-tshirt,Enjoy The Little Things Oversize Tshirt,Style Size,XL,,,,,ZZ09808-XL,,,Shop location,0,0,0,2,2
65,floral-print-oversize-red-tshirt,Floral Print Oversize Red Tshirt,Style Size,XS,,,,,ZZ09789-XS,,,Shop location,0,0,1,0,1
66,floral-print-oversize-red-tshirt,Floral Print Oversize Red Tshirt,Style Size,S,,,,,ZZ09789-S,,,Shop location,0,0,1,0,1
67,floral-print-oversize-red-tshirt,Floral Print Oversize Red Tshirt,Style Size,M,,,,,ZZ09789-M,,,Shop location,0,0,1,7,8
68,floral-print-oversize-red-tshirt,Floral Print Oversize Red Tshirt,Style Size,L,,,,,ZZ09789-L,,,Shop location,0,0,0,0,0
69,floral-print-oversize-red-tshirt,Floral Print Oversize Red Tshirt,Style Size,XL,,,,,ZZ09789-XL,,,Shop location,0,0,0,1,1
70,good-vibes-only-oversize-blue-tshirt,Good Vibes Only Oversize Blue Tshirt,Style Size,XS,,,,,ZZ09783-XS,,,Shop location,0,0,1,0,1
71,good-vibes-only-oversize-blue-tshirt,Good Vibes Only Oversize Blue Tshirt,Style Size,S,,,,,ZZ09783-S,,,Shop location,0,0,1,2,3
72,good-vibes-only-oversize-blue-tshirt,Good Vibes Only Oversize Blue Tshirt,Style Size,M,,,,,ZZ09783-M,,,Shop location,0,0,0,5,5
73,good-vibes-only-oversize-blue-tshirt,Good Vibes Only Oversize Blue Tshirt,Style Size,L,,,,,ZZ09783-L,,,Shop location,0,0,1,0,1
74,good-vibes-only-oversize-blue-tshirt,Good Vibes Only Oversize Blue Tshirt,Style Size,XL,,,,,ZZ09783-XL,,,Shop location,0,0,0,1,1
75,oversize-black-floral-print-tshirt,Oversize Black Floral Print Tshirt,Style Size,XS,,,,,ZZ09800-XS,,,Shop location,0,0,0,0,0
76,oversize-black-floral-print-tshirt,Oversize Black Floral Print Tshirt,Style Size,S,,,,,ZZ09800-S,,,Shop location,0,0,1,0,1
77,oversize-black-floral-print-tshirt,Oversize Black Floral Print Tshirt,Style Size,M,,,,,ZZ09800-M,,,Shop location,0,0,0,0,0
78,oversize-black-floral-print-tshirt,Oversize Black Floral Print Tshirt,Style Size,L,,,,,ZZ09800-L,,,Shop location,0,0,0,0,0
79,oversize-black-floral-print-tshirt,Oversize Black Floral Print Tshirt,Style Size,XL,,,,,ZZ09800-XL,,,Shop location,0,0,0,0,0
80,oversize-dark-gray-marl-tshirt,Oversize Dark Gray Marl Tshirt,Style Size,XS,,,,,ZZ09779-XS,,,Shop location,0,0,0,2,2
81,oversize-dark-gray-marl-tshirt,Oversize Dark Gray Marl Tshirt,Style Size,S,,,,,ZZ09779-S,,,Shop location,0,0,0,2,2
82,oversize-dark-gray-marl-tshirt,Oversize Dark Gray Marl Tshirt,Style Size,M,,,,,ZZ09779-M,,,Shop location,0,0,0,4,4
83,oversize-dark-gray-marl-tshirt,Oversize Dark Gray Marl Tshirt,Style Size,L,,,,,ZZ09779-L,,,Shop location,0,0,0,0,0
84,oversize-dark-gray-marl-tshirt,Oversize Dark Gray Marl Tshirt,Style Size,XL,,,,,ZZ09779-XL,,,Shop location,0,0,0,0,0
85,oversize-gray-marl-positive-tshirt,Oversize Gray Marl Positive Tshirt,Style Size,XS,,,,,ZZ09778-XS,,,Shop location,0,0,2,0,2
86,oversize-gray-marl-positive-tshirt,Oversize Gray Marl Positive Tshirt,Style Size,S,,,,,ZZ09778-S,,,Shop location,0,0,0,6,6
87,oversize-gray-marl-positive-tshirt,Oversize Gray Marl Positive Tshirt,Style Size,M,,,,,ZZ09778-M,,,Shop location,0,0,0,9,9
88,oversize-gray-marl-positive-tshirt,Oversize Gray Marl Positive Tshirt,Style Size,L,,,,,ZZ09778-L,,,Shop location,0,0,0,5,5
89,oversize-gray-marl-positive-tshirt,Oversize Gray Marl Positive Tshirt,Style Size,XL,,,,,ZZ09778-XL,,,Shop location,0,0,0,3,3
90,oversize-keep-calm-khaki-tshirt,Oversize Keep Calm Khaki Tshirt,Style Size,XS,,,,,ZZ09790-XS,,,Shop location,0,0,0,2,2
91,oversize-keep-calm-khaki-tshirt,Oversize Keep Calm Khaki Tshirt,Style Size,S,,,,,ZZ09790-S,,,Shop location,0,0,0,5,5
92,oversize-keep-calm-khaki-tshirt,Oversize Keep Calm Khaki Tshirt,Style Size,M,,,,,ZZ09790-M,,,Shop location,0,0,0,7,7
93,oversize-keep-calm-khaki-tshirt,Oversize Keep Calm Khaki Tshirt,Style Size,L,,,,,ZZ09790-L,,,Shop location,0,0,0,4,4
94,oversize-keep-calm-khaki-tshirt,Oversize Keep Calm Khaki Tshirt,Style Size,XL,,,,,ZZ09790-XL,,,Shop location,0,0,0,2,2
95,oversize-khaki-tshirt,Oversize Khaki Tshirt,Style Size,XS,,,,,ZZ09793-XS,,,Shop location,0,0,1,0,1
96,oversize-khaki-tshirt,Oversize Khaki Tshirt,Style Size,S,,,,,ZZ09793-S,,,Shop location,0,0,1,3,4
