,YEAR-MONTH,RAINFALL
1105,1998-02-01,0.0
1106,1998-03-01,0.0
1107,1998-04-01,0.0
1108,1998-05-01,348.9
1109,1998-06-01,600.0
1110,1998-07-01,364.5
1111,1998-08-01,258.9
1112,1998-09-01,337.8
1113,1998-10-01,618.6
1114,1998-11-01,227.8
1115,1998-12-01,89.0
1116,1999-01-01,46.8
1117,1999-02-01,44.6
1118,1999-03-01,14.2
1119,1999-04-01,270.6
1120,1999-05-01,257.4
1121,1999-06-01,295.0
1122,1999-07-01,408.5
1123,1999-08-01,329.2
1124,1999-09-01,325.3
1125,1999-10-01,437.5
1126,1999-11-01,124.9
1127,1999-12-01,145.7
1128,2000-01-01,53.0
1129,2000-02-01,59.0
1130,2000-03-01,171.3
1131,2000-04-01,218.1
1132,2000-05-01,422.8
1133,2000-06-01,357.0
1134,2000-07-01,176.3
1135,2000-08-01,460.8
1136,2000-09-01,250.1
1137,2000-10-01,321.2
1138,2000-11-01,158.3
1139,2000-12-01,115.2
1140,2001-01-01,89.0
1141,2001-02-01,15.7
1142,2001-03-01,143.3
1143,2001-04-01,30.1
1144,2001-05-01,705.3
1145,2001-06-01,370.7
1146,2001-07-01,341.3
1147,2001-08-01,469.0
1148,2001-09-01,334.4
1149,2001-10-01,267.6
1150,2001-11-01,222.6
1151,2001-12-01,91.8
1152,2002-01-01,10.6
1153,2002-02-01,0.0
1154,2002-03-01,11.5
1155,2002-04-01,100.2
1156,2002-05-01,366.7
1157,2002-06-01,358.3
1158,2002-07-01,317.4
1159,2002-08-01,429.8
1160,2002-09-01,420.0
1161,2002-10-01,169.0
1162,2002-11-01,306.7
1163,2002-12-01,129.9
1164,2003-01-01,44.3
1165,2003-02-01,7.9
1166,2003-03-01,149.2
1167,2003-04-01,19.4
1168,2003-05-01,296.3
1169,2003-06-01,159.9
1170,2003-07-01,494.9
1171,2003-08-01,379.4
1172,2003-09-01,371.9
1173,2003-10-01,310.4
1174,2003-11-01,74.1
1175,2003-12-01,48.0
1176,2004-01-01,54.5
1177,2004-02-01,35.9
1178,2004-03-01,36.5
1179,2004-04-01,41.6
1180,2004-05-01,505.1
1181,2004-06-01,423.9
1182,2004-07-01,378.9
1183,2004-08-01,308.7
1184,2004-09-01,280.7
1185,2004-10-01,223.9
1186,2004-11-01,169.9
1187,2004-12-01,0.4
1188,2005-01-01,0.0
1189,2005-02-01,0.0
1190,2005-03-01,20.3
1191,2005-04-01,51.1
1192,2005-05-01,305.3
1193,2005-06-01,452.4
1194,2005-07-01,429.3
1195,2005-08-01,311.1
1196,2005-09-01,507.5
1197,2005-10-01,293.5
1198,2005-11-01,300.1
1199,2005-12-01,283.9
1200,2006-01-01,16.3
1201,2006-02-01,14.4
1202,2006-03-01,48.9
1203,2006-04-01,163.7
1204,2006-05-01,321.4
1205,2006-06-01,366.0
1206,2006-07-01,182.7
1207,2006-08-01,219.6
1208,2006-09-01,546.5
1209,2006-10-01,374.7
1210,2006-11-01,76.1
1211,2006-12-01,74.4
1212,2007-01-01,4.9
1213,2007-02-01,1.6
1214,2007-03-01,5.0
1215,2007-04-01,54.6
1216,2007-05-01,370.0
1217,2007-06-01,378.3
1218,2007-07-01,463.2
1219,2007-08-01,465.3
1220,2007-09-01,486.4
1221,2007-10-01,209.4
1222,2007-11-01,223.9
1223,2007-12-01,85.6
1224,2008-01-01,9.9
1225,2008-02-01,67.7
1226,2008-03-01,115.8
1227,2008-04-01,216.1
1228,2008-05-01,545.5
1229,2008-06-01,457.8
1230,2008-07-01,511.2
1231,2008-08-01,482.1
1232,2008-09-01,332.0
1233,2008-10-01,243.7
1234,2008-11-01,321.1
1235,2008-12-01,72.0
1236,2009-01-01,24.5
1237,2009-02-01,6.3
1238,2009-03-01,44.2
1239,2009-04-01,136.5
1240,2009-05-01,313.1
1241,2009-06-01,633.5
1242,2009-07-01,297.3
1243,2009-08-01,351.5
1244,2009-09-01,344.7
1245,2009-10-01,272.8
1246,2009-11-01,66.2
1247,2009-12-01,48.0
1248,2010-01-01,101.7
1249,2010-02-01,8.0
1250,2010-03-01,0.7
1251,2010-04-01,12.5
1252,2010-05-01,319.0
1253,2010-06-01,448.9
1254,2010-07-01,521.9
1255,2010-08-01,563.8
1256,2010-09-01,263.3
1257,2010-10-01,402.4
1258,2010-11-01,268.5
1259,2010-12-01,246.4
1260,2011-01-01,265.9
1261,2011-02-01,84.8
1262,2011-03-01,272.8
1263,2011-04-01,111.4
1264,2011-05-01,326.5
1265,2011-06-01,383.2
1266,2011-07-01,583.2
1267,2011-08-01,441.5
1268,2011-09-01,757.1
1269,2011-10-01,212.3
1270,2011-11-01,150.8
1271,2011-12-01,238.5
1272,2012-01-01,119.9
1273,2012-02-01,45.6
1274,2012-03-01,30.9
1275,2012-04-01,55.8
1276,2012-05-01,533.9
1277,2012-06-01,458.2
1278,2012-07-01,317.3
1279,2012-08-01,369.6
1280,2012-09-01,868.9
1281,2012-10-01,209.7
1282,2012-11-01,300.5
1283,2012-12-01,187.3
1284,2013-01-01,67.1
1285,2013-02-01,37.6
1286,2013-03-01,43.0
